,Day,Month,Humidity,Wind,Rain,DMC,DC,Spread,Region,Classes
0,27,9,87,15,4.4,6.5,8.0,0.1,0,0
1,13,9,86,21,4.6,1.3,7.5,0.1,1,0
2,1,9,86,16,0.0,0.9,8.2,0.1,0,0
3,20,6,80,16,0.4,3.4,27.1,0.9,1,0
4,14,6,79,16,0.7,6.4,7.3,0.5,0,0
5,28,9,47,14,0.7,7.1,8.8,1.8,1,0
6,4,7,78,17,0.0,4.6,18.5,2.7,1,0
7,27,9,87,15,4.4,6.5,8.0,0.1,0,0
8,10,7,51,16,3.8,8.0,9.5,2.0,0,0
9,26,7,58,10,0.2,10.8,19.7,1.6,0,0
10,17,6,69,17,4.7,3.9,8.0,1.1,0,0
11,17,6,69,17,4.7,3.9,8.0,1.1,0,0
12,27,7,87,18,0.0,11.8,28.3,2.8,0,0
13,20,9,58,13,0.2,18.7,88.0,2.1,0,0
14,28,9,87,24,0.5,3.5,7.9,0.4,0,0
15,10,7,69,13,0.7,6.0,9.3,1.1,1,0
16,3,6,82,22,7.0,2.5,7.1,0.3,1,0
17,7,7,64,18,0.2,9.7,40.4,2.8,1,0
18,14,9,76,24,7.0,1.1,7.0,0.4,1,0
19,2,6,61,13,1.3,4.1,7.6,1.0,1,0
20,27,7,87,18,0.0,11.8,28.3,2.8,0,0
21,16,7,76,21,0.0,7.0,25.5,0.7,1,0
22,12,8,51,13,0.3,15.6,75.1,2.5,1,0
23,2,6,61,13,1.3,4.1,7.6,1.0,1,0
24,1,6,71,12,0.7,2.5,8.2,0.6,0,0
25,26,9,54,11,0.0,6.0,16.3,2.5,1,0
26,4,7,78,17,0.0,4.6,18.5,2.7,1,0
27,24,7,78,16,0.1,9.6,79.7,1.4,1,0
28,18,6,62,10,7.0,4.6,8.3,0.9,0,0
29,24,9,65,19,0.6,5.5,15.2,1.5,1,0
30,7,7,64,18,0.2,9.7,40.4,2.8,1,0
31,1,8,52,14,0.0,4.4,10.5,2.0,0,0
32,10,9,73,12,1.8,2.2,8.9,0.7,1,0
33,7,8,63,13,2.9,7.2,9.8,1.2,0,0
34,25,9,81,21,5.8,3.0,7.7,0.4,1,0
35,2,9,86,15,7.0,0.7,7.0,0.0,1,0
36,28,8,56,14,0.4,37.0,166.0,2.1,0,0
37,26,9,54,11,0.0,6.0,16.3,2.5,1,0
38,23,6,59,16,0.8,7.0,8.3,1.6,0,0
39,20,6,80,16,0.4,3.4,27.1,0.9,1,0
40,29,9,80,16,1.8,2.9,7.7,0.3,1,0
41,29,9,80,16,1.8,2.9,7.7,0.3,1,0
42,8,9,73,17,0.9,2.6,8.4,1.1,1,0
43,29,9,80,16,1.8,2.9,7.7,0.3,1,0
44,12,9,88,13,0.0,2.6,16.6,1.2,1,0
45,16,9,65,14,0.0,3.2,15.7,1.9,1,0
46,1,6,71,12,0.7,2.5,8.2,0.6,0,0
47,3,6,82,22,7.0,2.5,7.1,0.3,1,0
48,24,9,49,7,2.0,11.9,28.1,0.6,0,0
49,12,9,88,13,0.0,2.6,16.6,1.2,1,0
50,10,6,79,12,0.0,9.5,46.3,1.3,1,0
51,4,7,78,17,0.0,4.6,18.5,2.7,1,0
52,15,6,90,15,0.0,7.2,14.7,1.2,0,0
53,30,8,70,17,0.8,25.2,180.4,1.7,1,0
54,1,7,68,19,1.0,2.5,8.6,1.1,1,0
55,4,6,89,13,2.5,1.3,6.9,0.0,1,0
56,1,8,52,14,0.0,4.4,10.5,2.0,0,0
57,26,9,54,11,0.0,6.0,16.3,2.5,1,0
58,19,6,55,16,0.1,4.5,16.0,2.5,1,0
59,14,6,78,20,0.5,4.6,7.8,1.0,1,0
60,6,8,54,14,3.1,11.0,9.1,1.3,0,0
